energy,barns
1.00E-11,30.8193
1.11E-11,29.3374
1.23E-11,27.9371
1.37E-11,26.6129
1.52E-11,25.3626
1.69E-11,24.1814
1.88E-11,23.0671
2.09E-11,22.0154
2.32E-11,21.0246
2.57E-11,20.0907
2.86E-11,19.212
3.18E-11,18.385
3.53E-11,17.6083
3.92E-11,16.8787
4.38E-11,16.1506
4.90E-11,15.4716
5.49E-11,14.8392
6.14E-11,14.2511
6.86E-11,13.7052
7.68E-11,13.1994
8.65E-11,12.7036
9.74E-11,12.2482
1.10E-10,11.8313
1.25E-10,11.429
1.41E-10,11.0644
1.61E-10,10.7178
1.86E-10,10.3923
2.14E-10,10.1037
2.47E-10,9.83703
2.89E-10,9.59346
3.41E-10,9.36492
4.07E-10,9.16287
4.91E-10,8.98011
6.06E-10,8.81317
7.64E-10,8.66541
9.90E-10,8.53527
1.33E-09,8.42246
1.87E-09,8.32541
2.83E-09,8.24274
4.79E-09,8.17091
9.78E-09,8.10008
2.52E-08,7.99079
2.53E-08,7.99042
6.79E-08,7.70213
9.99E-08,7.43183
1.28E-07,7.13407
1.55E-07,6.80074
2.01E-07,6.15319
2.13E-07,6.02618
2.20E-07,5.97804
2.25E-07,5.97076
2.31E-07,5.99464
2.36E-07,6.05308
2.39E-07,6.11824
2.42E-07,6.20979
2.46E-07,6.33336
2.49E-07,6.4955
2.53E-07,6.7036
2.55E-07,6.89507
2.58E-07,7.12043
2.61E-07,7.38321
2.64E-07,7.68678
2.66E-07,8.03591
2.69E-07,8.43167
2.72E-07,8.87551
2.75E-07,9.36751
2.79E-07,10.0977
2.83E-07,10.9025
2.91E-07,12.6606
2.96E-07,13.9051
3.01E-07,14.75
3.05E-07,15.5168
3.09E-07,16.1778
3.12E-07,16.5931
3.16E-07,16.933
3.18E-07,17.1167
3.22E-07,17.3865
3.27E-07,17.5327
3.31E-07,17.5708
3.36E-07,17.5137
3.44E-07,17.3016
3.53E-07,16.8659
3.82E-07,15.4293
3.95E-07,14.8299
4.09E-07,14.2963
4.24E-07,13.8294
4.42E-07,13.347
4.61E-07,12.9373
4.84E-07,12.5345
5.12E-07,12.1531
5.46E-07,11.8013
5.85E-07,11.4828
6.32E-07,11.1974
6.92E-07,10.9247
7.69E-07,10.6722
8.66E-07,10.4429
9.97E-07,10.2258
1.18E-06,10.0152
1.43E-06,9.8129
1.82E-06,9.60191
2.44E-06,9.36028
3.96E-06,8.90789
5.06E-06,8.56429
5.70E-06,8.31277
6.16E-06,8.07949
6.47E-06,7.87217
6.70E-06,7.67135
6.89E-06,7.45468
7.04E-06,7.23611
7.13E-06,7.04768
7.21E-06,6.8728
7.29E-06,6.65683
7.34E-06,6.48012
7.39E-06,6.27014
7.44E-06,6.0133
7.48E-06,5.78667
7.51E-06,5.57049
7.54E-06,5.321
7.57E-06,5.07869
7.59E-06,4.807
7.64E-06,4.25355
7.66E-06,4.12965
7.67E-06,4.0751
7.67E-06,4.05459
7.68E-06,4.05217
7.68E-06,4.06126
7.69E-06,4.10037
7.69E-06,4.14711
7.70E-06,4.21358
7.70E-06,4.30283
7.70E-06,4.41819
7.71E-06,4.56324
7.71E-06,4.74174
7.72E-06,4.91126
7.72E-06,5.13313
7.72E-06,5.3908
7.73E-06,5.68715
7.73E-06,6.02493
7.73E-06,6.33991
7.74E-06,6.68676
7.74E-06,7.06663
7.74E-06,7.48047
7.75E-06,8.08622
7.75E-06,8.75434
7.76E-06,9.48458
7.76E-06,10.2755
7.76E-06,11.1243
7.77E-06,12.2134
7.77E-06,13.37
7.78E-06,15.2549
7.80E-06,19.8381
7.81E-06,21.335
7.81E-06,22.5627
7.82E-06,23.7271
7.82E-06,24.8258
7.83E-06,25.7254
7.84E-06,26.3703
7.84E-06,26.7679
7.85E-06,27.0221
7.85E-06,27.1425
7.86E-06,27.0737
7.86E-06,26.8204
7.87E-06,26.4078
7.88E-06,25.8644
7.88E-06,24.9867
7.90E-06,23.4765
7.92E-06,20.884
7.93E-06,19.4708
7.94E-06,18.6221
7.95E-06,17.853
7.96E-06,17.1616
7.96E-06,16.5431
7.98E-06,15.7375
7.99E-06,15.1412
8.00E-06,14.5145
8.01E-06,14.0377
8.03E-06,13.5034
8.04E-06,13.0529
8.06E-06,12.6919
8.08E-06,12.2943
8.10E-06,11.9559
8.12E-06,11.5329
8.16E-06,11.1515
8.19E-06,10.8382
8.23E-06,10.482
8.28E-06,10.1826
8.33E-06,9.90586
8.39E-06,9.65277
8.48E-06,9.34757
8.53E-06,9.17929
8.66E-06,8.89596
8.78E-06,8.65993
8.96E-06,8.35437
9.55E-06,7.50005
9.75E-06,7.15783
9.89E-06,6.88849
1.00E-05,6.58485
1.01E-05,6.31886
1.02E-05,6.10008
1.03E-05,5.85003
1.03E-05,5.56067
1.04E-05,5.28278
1.04E-05,5.03083
1.05E-05,4.78733
1.05E-05,4.44142
1.06E-05,3.78098
1.07E-05,3.66014
1.07E-05,3.55694
1.07E-05,3.49859
1.07E-05,3.46498
1.07E-05,3.46059
1.07E-05,3.46657
1.07E-05,3.49395
1.07E-05,3.53501
1.07E-05,3.58972
1.08E-05,3.67869
1.08E-05,3.76569
1.08E-05,3.87249
1.08E-05,4.00147
1.08E-05,4.17498
1.08E-05,4.31716
1.08E-05,4.47771
1.08E-05,4.65798
1.08E-05,4.85935
1.08E-05,5.08316
1.08E-05,5.33074
1.08E-05,5.60334
1.08E-05,6.01314
1.08E-05,6.47322
1.08E-05,6.9856
1.08E-05,7.55157
1.08E-05,8.17159
1.08E-05,8.74203
1.09E-05,9.48744
1.09E-05,10.2859
1.09E-05,11.1328
1.09E-05,12.3484
1.09E-05,14.3764
1.09E-05,17.5288
1.09E-05,18.9406
1.09E-05,20.2428
1.09E-05,21.0851
1.09E-05,21.8284
1.10E-05,22.6034
1.10E-05,23.0657
1.10E-05,23.4031
1.10E-05,23.6813
1.10E-05,23.87
1.10E-05,23.8902
1.10E-05,23.8235
1.10E-05,23.6203
1.10E-05,23.3026
1.10E-05,22.6618
1.11E-05,21.889
1.11E-05,19.0674
1.11E-05,18.024
1.11E-05,17.0772
1.12E-05,16.2301
1.12E-05,15.4764
1.12E-05,14.806
1.12E-05,14.2079
1.12E-05,13.4238
1.13E-05,12.7486
1.13E-05,12.158
