energy,mxw
1.00E-05,0.74126
1.10E-05,0.74126
1.20E-05,0.74126
1.30E-05,0.74126
1.40E-05,0.74126
1.50E-05,0.74126
1.60E-05,0.74126
1.70E-05,0.74126
1.80E-05,0.74126
1.90E-05,0.74126
2.00E-05,0.74126
2.10E-05,0.74126
2.20E-05,0.74126
2.30E-05,0.74126
2.40E-05,0.74126
2.50E-05,0.74126
2.60E-05,0.74126
2.70E-05,0.74126
2.80E-05,0.74126
2.90E-05,0.74126
3.00E-05,0.74126
3.10E-05,0.74127
3.20E-05,0.74127
3.30E-05,0.74127
3.40E-05,0.74127
3.50E-05,0.74127
3.60E-05,0.74127
3.70E-05,0.74127
3.80E-05,0.74127
3.90E-05,0.74127
4.00E-05,0.74127
4.10E-05,0.74127
4.20E-05,0.74127
4.30E-05,0.74127
4.40E-05,0.74127
4.50E-05,0.74127
4.60E-05,0.74127
4.70E-05,0.74127
4.80E-05,0.74127
4.90E-05,0.74127
5.00E-05,0.74127
5.10E-05,0.74127
5.20E-05,0.74127
5.30E-05,0.74127
5.40E-05,0.74127
5.50E-05,0.74127
5.60E-05,0.74127
5.70E-05,0.74127
5.80E-05,0.74127
5.90E-05,0.74128
6.00E-05,0.74128
6.10E-05,0.74128
6.20E-05,0.74128
6.30E-05,0.74128
6.40E-05,0.74128
6.50E-05,0.74128
6.60E-05,0.74128
6.70E-05,0.74128
6.80E-05,0.74128
6.90E-05,0.74128
7.00E-05,0.74128
7.10E-05,0.74128
7.20E-05,0.74128
7.30E-05,0.74128
7.40E-05,0.74128
7.50E-05,0.74128
7.60E-05,0.74128
7.70E-05,0.74128
7.80E-05,0.74128
7.90E-05,0.74128
8.00E-05,0.74128
8.10E-05,0.74128
8.20E-05,0.74128
8.30E-05,0.74128
8.40E-05,0.74128
8.50E-05,0.74128
8.60E-05,0.74128
8.70E-05,0.74129
8.80E-05,0.74129
8.90E-05,0.74129
9.00E-05,0.74129
9.10E-05,0.74129
9.20E-05,0.74129
9.30E-05,0.74129
9.40E-05,0.74129
9.50E-05,0.74129
9.60E-05,0.74129
9.70E-05,0.74129
9.80E-05,0.74129
9.90E-05,0.74129
0.0001,0.74129
0.00011,0.74129
0.00012,0.7413
0.00013,0.7413
0.00014,0.7413
0.00015,0.74131
0.00016,0.74131
0.00017,0.74131
0.00018,0.74132
0.00019,0.74132
0.0002,0.74133
0.00021,0.74133
0.00022,0.74133
0.00023,0.74134
0.00024,0.74134
0.00025,0.74134
0.00026,0.74135
0.00027,0.74135
0.00028,0.74135
0.00029,0.74136
0.0003,0.74136
0.00031,0.74136
0.00032,0.74137
0.00033,0.74137
0.00034,0.74138
0.00035,0.74138
0.00036,0.74138
0.00037,0.74139
0.00038,0.74139
0.00039,0.74139
0.0004,0.7414
0.00041,0.7414
0.00042,0.7414
0.00043,0.74141
0.00044,0.74141
0.00045,0.74141
0.00046,0.74142
0.00047,0.74142
0.00048,0.74143
0.00049,0.74143
0.0005,0.74143
0.00051,0.74144
0.00052,0.74144
0.00053,0.74144
0.00054,0.74145
0.00055,0.74145
0.00056,0.74145
0.00057,0.74146
0.00058,0.74146
0.00059,0.74146
0.0006,0.74147
0.00061,0.74147
0.00062,0.74148
0.00063,0.74148
0.00064,0.74148
0.00065,0.74149
0.00066,0.74149
0.00067,0.74149
0.00068,0.7415
0.00069,0.7415
0.0007,0.7415
0.00071,0.74151
0.00072,0.74151
0.00073,0.74151
0.00074,0.74152
0.00075,0.74152
0.00076,0.74152
0.00077,0.74153
0.00078,0.74153
0.00079,0.74154
0.0008,0.74154
0.00081,0.74154
0.00082,0.74155
0.00083,0.74155
0.00084,0.74155
0.00085,0.74156
0.00086,0.74156
0.00087,0.74156
0.00088,0.74157
0.00089,0.74157
0.0009,0.74157
0.00091,0.74158
0.00092,0.74158
0.00093,0.74159
0.00094,0.74159
0.00095,0.74159
0.00096,0.7416
0.00097,0.7416
0.00098,0.7416
0.00099,0.74161
0.001,0.74161
0.0011,0.74165
0.0012,0.74168
0.0013,0.74172
0.0014,0.74175
0.0015,0.74179
0.0016,0.74182
0.0017,0.74186
0.0018,0.74189
0.0019,0.74193
0.002,0.74197
0.0021,0.742
0.0022,0.74204
0.0023,0.74207
0.0024,0.74211
0.0025,0.74214
0.0026,0.74218
0.0027,0.74222
0.0028,0.74225
0.0029,0.74229
0.003,0.74232
0.0031,0.74236
0.0032,0.74239
0.0033,0.74243
0.0034,0.74246
0.0035,0.7425
0.0036,0.74254
0.0037,0.74257
0.0038,0.74261
0.0039,0.74264
0.004,0.74268
0.0041,0.74271
0.0042,0.74275
0.0043,0.74278
0.0044,0.74282
0.0045,0.74285
0.0046,0.74289
0.0047,0.74293
0.0048,0.74296
0.0049,0.743
0.005,0.74303
0.0051,0.74307
0.0052,0.7431
0.0053,0.74314
0.0054,0.74317
0.0055,0.74321
0.0056,0.74325
0.0057,0.74328
0.0058,0.74332
0.0059,0.74335
0.006,0.74339
0.0061,0.74342
0.0062,0.74346
0.0063,0.74349
0.0064,0.74353
0.0065,0.74357
0.0066,0.7436
0.0067,0.74364
0.0068,0.74367
0.0069,0.74371
0.007,0.74374
0.0071,0.74378
0.0072,0.74381
0.0073,0.74385
0.0074,0.74388
0.0075,0.74392
0.0076,0.74396
0.0077,0.74399
0.0078,0.74403
0.0079,0.74406
0.008,0.7441
0.0081,0.74413
0.0082,0.74417
0.0083,0.7442
0.0084,0.74424
0.0085,0.74427
0.0086,0.74431
0.0087,0.74435
0.0088,0.74438
0.0089,0.74442
0.009,0.74445
0.0091,0.74449
0.0092,0.74452
0.0093,0.74456
0.0094,0.74459
0.0095,0.74463
0.0096,0.74466
0.0097,0.7447
0.0098,0.74474
0.0099,0.74477
0.01,0.74481
0.011,0.74516
0.012,0.74551
0.013,0.74587
0.014,0.74622
0.015,0.74657
0.016,0.74692
0.017,0.74727
0.018,0.74763
0.019,0.74798
0.02,0.74833
0.021,0.74868
0.022,0.74903
0.023,0.74938
0.024,0.74973
0.025,0.75007
0.026,0.75042
0.027,0.75077
0.028,0.75112
0.029,0.75147
0.03,0.75181
0.031,0.75216
0.032,0.75251
0.033,0.75285
0.034,0.7532
0.035,0.75355
0.036,0.75389
0.037,0.75424
0.038,0.75458
0.039,0.75493
0.04,0.75527
0.041,0.75562
0.042,0.75596
0.043,0.7563
0.044,0.75664
0.045,0.75699
0.046,0.75733
0.047,0.75767
0.048,0.75801
0.049,0.75835
0.05,0.7587
0.051,0.75904
0.052,0.75938
0.053,0.75972
0.054,0.76006
0.055,0.7604
0.056,0.76073
0.057,0.76107
0.058,0.76141
0.059,0.76175
0.06,0.76209
0.061,0.76243
0.062,0.76276
0.063,0.7631
0.064,0.76344
0.065,0.76377
0.066,0.76411
0.067,0.76444
0.068,0.76478
0.069,0.76511
0.07,0.76545
0.071,0.76578
0.072,0.76612
0.073,0.76645
0.074,0.76678
0.075,0.76712
0.076,0.76745
0.077,0.76778
0.078,0.76811
0.079,0.76844
0.08,0.76877
0.081,0.76911
0.082,0.76944
0.083,0.76977
0.084,0.7701
0.085,0.77043
0.086,0.77076
0.087,0.77109
0.088,0.77141
0.089,0.77174
0.09,0.77207
0.091,0.7724
0.092,0.77273
0.093,0.77305
0.094,0.77338
0.095,0.77371
0.096,0.77403
0.097,0.77436
0.098,0.77468
0.099,0.77501
0.1,0.77533
0.11,0.77857
0.12,0.78176
0.13,0.78493
0.14,0.78806
0.15,0.79116
0.16,0.79423
0.17,0.79726
0.18,0.80027
0.19,0.80325
0.2,0.80619
0.21,0.80911
0.22,0.81199
0.23,0.81485
0.24,0.81767
0.25,0.82046
0.26,0.82323
0.27,0.82596
0.28,0.82866
0.29,0.83134
0.3,0.83398
0.31,0.83659
0.32,0.83917
0.33,0.84171
0.34,0.84422
0.35,0.8467
0.36,0.84913
0.37,0.85152
0.38,0.85388
0.39,0.85621
0.4,0.85852
0.41,0.8608
0.42,0.86305
0.43,0.86527
0.44,0.86745
0.45,0.86957
0.46,0.87162
0.47,0.87359
0.48,0.87546
0.49,0.87723
0.5,0.87895
0.51,0.88061
0.52,0.88225
0.53,0.88385
0.54,0.88544
0.55,0.88699
0.56,0.88851
0.57,0.88998
0.58,0.89138
0.59,0.89271
0.6,0.89398
0.61,0.89518
0.62,0.89635
0.63,0.89748
0.64,0.89859
0.65,0.89969
0.66,0.90079
0.67,0.90188
0.68,0.90298
0.69,0.90408
0.7,0.90518
0.71,0.90627
0.72,0.90736
0.73,0.90844
0.74,0.90951
0.75,0.91058
0.76,0.91164
0.77,0.91271
0.78,0.91378
0.79,0.91485
0.8,0.91592
0.81,0.91699
0.82,0.91806
0.83,0.91914
0.84,0.92022
0.85,0.92131
0.86,0.9224
0.87,0.92351
0.88,0.92462
0.89,0.92574
0.9,0.92687
0.91,0.92801
0.92,0.92915
0.93,0.9303
0.94,0.93145
0.95,0.9326
0.96,0.93376
0.97,0.93491
0.98,0.93607
0.99,0.93722
1,0.93837
1.1,0.94984
1.2,0.96132
1.3,0.97327
1.4,0.9854
