energy,barns
1.00E-11,36530.3
1.10E-11,34782.3
1.22E-11,33118
1.34E-11,31533.3
1.48E-11,30024.5
1.63E-11,28587.8
1.80E-11,27219.9
1.99E-11,25917.4
2.19E-11,24677.3
2.42E-11,23496.5
2.67E-11,22372.2
2.94E-11,21301.7
3.24E-11,20282.5
3.58E-11,19312
3.95E-11,18388
4.35E-11,17508.1
4.80E-11,16670.4
5.30E-11,15872.8
5.84E-11,15113.3
6.44E-11,14390.2
7.11E-11,13701.7
7.84E-11,13046.1
8.65E-11,12422
9.54E-11,11827.6
1.05E-10,11261.8
1.16E-10,10723
1.28E-10,10210
1.41E-10,9721.52
1.56E-10,9256.45
1.72E-10,8813.63
1.90E-10,8392.02
2.09E-10,7990.58
2.31E-10,7608.36
2.54E-10,7244.43
2.81E-10,6897.93
3.09E-10,6568.01
3.41E-10,6253.89
3.77E-10,5954.81
4.15E-10,5670.05
4.58E-10,5398.92
5.05E-10,5140.78
5.57E-10,4895
6.15E-10,4660.99
6.78E-10,4438.19
7.48E-10,4226.06
8.25E-10,4024.1
9.10E-10,3831.82
1.00E-09,3648.75
1.11E-09,3474.46
1.22E-09,3308.52
1.35E-09,3150.54
1.49E-09,3000.14
1.64E-09,2856.95
1.81E-09,2720.64
1.99E-09,2590.87
2.20E-09,2467.34
2.43E-09,2349.75
2.68E-09,2237.82
2.95E-09,2131.29
3.26E-09,2029.91
3.59E-09,1933.44
3.96E-09,1841.63
4.37E-09,1754.26
4.82E-09,1671.09
5.32E-09,1591.9
5.87E-09,1516.52
6.47E-09,1444.81
7.14E-09,1376.61
7.87E-09,1311.76
8.68E-09,1250.07
9.58E-09,1191.36
1.06E-08,1135.51
1.17E-08,1082.41
1.29E-08,1031.97
1.42E-08,984.121
1.56E-08,938.746
1.73E-08,895.686
1.90E-08,854.788
2.10E-08,816.002
2.32E-08,779.315
2.52E-08,748.711
2.53E-08,747.917
2.79E-08,715.043
3.08E-08,684.04
3.40E-08,654.912
3.75E-08,627.649
4.13E-08,602.243
4.56E-08,578.745
5.03E-08,557.256
5.54E-08,537.68
6.12E-08,520.117
6.75E-08,504.852
7.44E-08,492.198
8.15E-08,483.024
8.93E-08,476.818
9.71E-08,474.165
9.92E-08,474.035
1.07E-07,475.861
1.15E-07,481.006
1.23E-07,489.142
1.31E-07,501.408
1.38E-07,516.667
1.45E-07,534.235
1.52E-07,556.693
1.59E-07,580.804
1.65E-07,605.126
1.71E-07,634.063
1.77E-07,668.69
1.82E-07,701.282
1.87E-07,739.11
1.92E-07,783.182
1.96E-07,821.028
2.00E-07,863.815
2.05E-07,912.091
2.09E-07,966.971
2.13E-07,1029.24
2.18E-07,1100.42
2.23E-07,1181.59
2.27E-07,1274.78
2.31E-07,1344.28
2.34E-07,1420.42
2.37E-07,1503.79
2.40E-07,1594.95
2.44E-07,1694.42
2.47E-07,1802.62
2.53E-07,1981.45
2.58E-07,2180.01
2.73E-07,2763.28
2.77E-07,2902.63
2.81E-07,3028.29
2.83E-07,3109.27
2.86E-07,3175.49
2.89E-07,3224.34
2.93E-07,3253.04
2.95E-07,3260.23
2.98E-07,3248.76
3.01E-07,3214
3.04E-07,3156.57
3.08E-07,3077.59
3.11E-07,2979.66
3.15E-07,2824.72
3.20E-07,2649.24
3.31E-07,2173.72
3.36E-07,1986.24
3.41E-07,1807.59
3.44E-07,1680.88
3.48E-07,1561.55
3.51E-07,1449.94
3.55E-07,1346.11
3.59E-07,1249.51
3.63E-07,1160.35
3.67E-07,1078.26
3.70E-07,1002.83
3.74E-07,933.273
3.78E-07,869.493
3.82E-07,811.025
3.86E-07,757.424
3.90E-07,708.049
3.95E-07,662.761
3.99E-07,621.192
4.03E-07,583.005
4.07E-07,547.731
4.11E-07,515.273
4.16E-07,485.371
4.20E-07,457.792
4.25E-07,432.211
4.29E-07,408.567
4.34E-07,386.687
4.38E-07,366.415
4.44E-07,341.568
4.51E-07,319.011
4.57E-07,298.49
4.63E-07,279.784
4.70E-07,262.699
4.77E-07,247.065
4.83E-07,232.733
4.90E-07,219.57
4.97E-07,207.457
5.04E-07,196.289
5.11E-07,185.976
5.18E-07,176.438
5.26E-07,167.603
5.33E-07,159.404
5.41E-07,151.786
5.48E-07,144.701
5.60E-07,134.962
5.72E-07,126.188
5.84E-07,118.217
5.96E-07,110.997
