energy,barns
1.00E-11,48315
1.10E-11,46003.2
1.11E-11,45852.5
1.22E-11,43802.1
1.23E-11,43515.2
1.34E-11,41706.4
1.37E-11,41294.6
1.48E-11,39710.9
1.52E-11,39186.9
1.63E-11,37810.9
1.69E-11,37184.6
1.80E-11,36001.9
1.88E-11,35284.3
1.99E-11,34279.4
2.09E-11,33479
2.19E-11,32639.3
2.32E-11,31765.8
2.42E-11,31077.8
2.57E-11,30138.3
2.67E-11,29591
2.86E-11,28594
2.94E-11,28175.3
3.18E-11,27127.1
3.24E-11,26827.4
3.53E-11,25735.1
3.58E-11,25544
3.92E-11,24413
3.95E-11,24322
4.35E-11,23158.5
4.38E-11,23082.7
4.80E-11,22050.8
4.90E-11,21833.1
5.30E-11,20996
5.49E-11,20648.3
5.84E-11,19991.7
6.14E-11,19525.1
6.44E-11,19035.5
6.86E-11,18460.3
7.11E-11,18125.1
7.68E-11,17451
7.84E-11,17258.3
8.65E-11,16432.9
9.54E-11,15647.1
9.74E-11,15492.7
1.05E-10,14898.9
1.10E-10,14602.1
1.16E-10,14186.5
1.25E-10,13708.9
1.28E-10,13508.2
1.41E-10,12862.4
1.56E-10,12247.6
1.61E-10,12044.9
1.72E-10,11662.2
1.86E-10,11228.7
1.90E-10,11104.8
2.09E-10,10574.1
2.14E-10,10469.9
2.31E-10,10068.9
2.47E-10,9730.1
2.54E-10,9587.82
2.81E-10,9129.81
2.89E-10,9009.55
3.09E-10,8693.76
3.41E-10,8278.59
3.77E-10,7883.33
4.07E-10,7590.69
4.15E-10,7507.01
4.58E-10,7148.74
4.91E-10,6908.52
5.05E-10,6807.64
5.57E-10,6482.9
6.06E-10,6219.77
6.15E-10,6173.73
6.78E-10,5879.41
7.48E-10,5599.19
7.64E-10,5544.15
8.25E-10,5332.44
9.10E-10,5078.49
9.90E-10,4872.74
1.00E-09,4836.74
1.11E-09,4606.61
1.22E-09,4387.54
1.33E-09,4210.06
1.35E-09,4179
1.49E-09,3980.51
1.64E-09,3791.57
1.81E-09,3611.73
1.87E-09,3552.47
1.99E-09,3440.57
2.20E-09,3277.67
2.43E-09,3122.64
2.68E-09,2975.12
2.83E-09,2896.6
2.95E-09,2834.76
3.26E-09,2701.24
3.59E-09,2574.23
3.96E-09,2453.42
4.37E-09,2338.49
4.79E-09,2237.41
4.82E-09,2229.28
4.86E-09,2221.89
5.32E-09,2125.35
5.39E-09,2111.34
5.87E-09,2026.46
5.99E-09,2006.44
6.47E-09,1932.42
6.65E-09,1907.06
7.14E-09,1843.05
7.39E-09,1812.89
7.87E-09,1758.13
8.21E-09,1723.73
8.68E-09,1677.4
9.12E-09,1639.22
9.58E-09,1600.66
9.78E-09,1585.36
1.01E-08,1559.18
1.06E-08,1527.74
1.13E-08,1483.39
1.17E-08,1458.51
1.25E-08,1411.75
1.29E-08,1392.85
1.39E-08,1344.09
1.42E-08,1330.67
1.54E-08,1280.31
1.56E-08,1271.82
1.71E-08,1220.12
1.73E-08,1216.12
1.90E-08,1163.35
2.10E-08,1113.61
2.11E-08,1110.27
2.32E-08,1066.74
2.35E-08,1060.43
2.52E-08,1027.64
2.53E-08,1026.63
2.79E-08,985.1
2.83E-08,979.547
3.08E-08,946.144
3.17E-08,935.769
3.40E-08,909.796
3.54E-08,895.343
3.75E-08,876.07
3.96E-08,858.295
4.13E-08,844.99
4.43E-08,824.72
4.56E-08,816.66
4.96E-08,794.851
5.03E-08,791.249
5.54E-08,768.701
6.12E-08,749.416
6.20E-08,747.066
6.68E-08,735.13
6.75E-08,733.551
6.79E-08,732.738
7.39E-08,722.463
7.44E-08,721.758
8.15E-08,714.886
8.16E-08,714.861
8.93E-08,712.826
8.93E-08,712.838
9.71E-08,715.942
9.72E-08,715.986
9.92E-08,717.748
9.99E-08,718.557
1.05E-07,724.472
1.07E-07,727.904
1.13E-07,737.207
1.15E-07,742.656
1.20E-07,754.116
1.23E-07,761.827
1.28E-07,777.468
1.28E-07,780.261
1.31E-07,787.877
1.35E-07,804.837
1.38E-07,818.336
1.42E-07,835.209
1.45E-07,852.163
1.49E-07,873.131
1.52E-07,894.151
1.55E-07,912.2
1.55E-07,912.839
1.59E-07,938.308
1.61E-07,952.201
1.65E-07,982.355
1.67E-07,998.647
1.71E-07,1034.22
1.73E-07,1053.57
1.77E-07,1095.48
1.77E-07,1104.35
1.82E-07,1152.92
1.83E-07,1163.14
1.87E-07,1219.23
1.88E-07,1231.06
1.92E-07,1296.09
1.93E-07,1309.71
1.96E-07,1361.75
1.97E-07,1377.14
2.00E-07,1435.84
2.01E-07,1450.59
2.01E-07,1453.18
2.05E-07,1519.21
2.06E-07,1538.8
2.09E-07,1613.72
2.10E-07,1635.94
2.13E-07,1704.54
2.13E-07,1720.7
2.14E-07,1745.95
2.18E-07,1842.71
2.19E-07,1871.49
2.20E-07,1913.77
2.23E-07,1981.54
2.24E-07,2014.42
2.25E-07,2062.75
2.27E-07,2140.59
2.28E-07,2177.75
2.31E-07,2258.73
2.31E-07,2267.07
2.32E-07,2299.69
2.34E-07,2388.28
2.35E-07,2433.07
2.36E-07,2467.39
2.37E-07,2529.93
2.38E-07,2578.86
2.39E-07,2616.33
2.40E-07,2684.62
2.42E-07,2737.99
2.42E-07,2778.82
2.44E-07,2853.21
2.45E-07,2911.24
2.46E-07,2955.85
2.47E-07,3037.14
2.49E-07,3148.4
2.50E-07,3199.58
2.53E-07,3339.17
2.53E-07,3353.59
2.55E-07,3518.26
