layers,mae
6,0.000683
6,0.000683
6,0.000684
6,0.000686
6,0.000686
7,0.000687
7,0.000687
7,0.000687
8,0.000689
6,0.00069
7,0.000691
7,0.000691
7,0.000692
5,0.000693
7,0.000694
6,0.000695
7,0.000696
7,0.000696
6,0.000696
6,0.000697
7,0.000697
7,0.000697
6,0.000698
6,0.000699
5,0.000701
6,0.000704
6,0.000704
6,0.000706
8,0.000706
6,0.000708
7,0.000714
6,0.000714
5,0.000714
6,0.000716
6,0.000716
6,0.000717
6,0.00072
5,0.000722
7,0.000723
8,0.000725
7,0.000725
6,0.000726
6,0.000729
6,0.000731
6,0.000733
6,0.000737
6,0.000738
7,0.000742
6,0.000743
5,0.000746
5,0.00077
5,0.000771
6,0.000773
5,0.000776
4,0.000783
3,0.001449
3,0.001495
3,0.001507
4,0.001513
4,0.001519
2,0.001537
4,0.00155
2,0.00155
4,0.001552
3,0.001558
2,0.00146
3,0.001573
2,0.001575
4,0.0016
3,0.001601
2,0.001601
3,0.001615
3,0.001619
2,0.001627
3,0.00163
3,0.001636
1,0.001645
1,0.001647
2,0.001647
3,0.001664
4,0.001667
2,0.00167
3,0.001682
5,0.001559
3,0.001695
3,0.001703
2,0.001704
3,0.001712
3,0.001716
3,0.001717
4,0.001719
4,0.001727
5,0.001734
4,0.001735
4,0.001739
4,0.001742
3,0.001742
4,0.001748
3,0.00175
4,0.001752
3,0.001755
3,0.001757
3,0.001757
4,0.001763
2,0.001763
4,0.00177
4,0.00177
2,0.001797
3,0.001814
3,0.001815
3,0.001824
1,0.001831
2,0.001839
2,0.001846
3,0.00185
3,0.001856
1,0.001861
2,0.001861
4,0.001881
3,0.001882
3,0.001882
3,0.001925
4,0.001925
3,0.001943
4,0.001945
3,0.001972
3,0.001972
2,0.002053
1,0.002164
1,0.002448
1,0.00412
6,0.005709
