EALF,keff,sd
4.03E-08,1.0198,0.0033
4.05E-08,1.0189,0.0033
4.10E-08,1.0161,0.0033
4.26E-08,1.0084,0.0058
4.26E-08,1.0076,0.0058
4.27E-08,1.0102,0.0058
4.36E-08,1.007,0.0058
4.51E-08,1.0076,0.0058
4.58E-08,1.0043,0.0043
4.74E-08,1.0072,0.0043
4.78E-08,1.0076,0.0043
4.91E-08,1.0084,0.0043
4.94E-08,1.0055,0.0026
4.94E-08,1.0075,0.0044
5.05E-08,1.0039,0.0026
5.12E-08,0.9919,0.0053
5.16E-08,1.0017,0.0036
5.17E-08,1.0011,0.0026
5.19E-08,0.9961,0.0053
5.20E-08,0.9996,0.0053
5.24E-08,1.0019,0.0036
5.24E-08,1.004,0.0048
5.29E-08,0.9984,0.0048
5.30E-08,1.0029,0.0044
5.30E-08,0.9993,0.0053
5.33E-08,0.991,0.0053
5.35E-08,0.9997,0.0048
5.38E-08,0.9988,0.0048
5.40E-08,1.0006,0.0048
5.41E-08,1.0024,0.0036
5.41E-08,1.0041,0.0024
5.46E-08,1.0018,0.0048
5.46E-08,1.0041,0.0053
5.48E-08,0.9998,0.0048
5.48E-08,1.0041,0.0048
5.48E-08,1.0054,0.0048
5.48E-08,1.0001,0.0048
5.50E-08,1.0018,0.0044
5.56E-08,1.0022,0.0048
5.56E-08,1.0008,0.0048
5.57E-08,1.0054,0.0023
5.57E-08,0.9988,0.0048
5.59E-08,1.0105,0.0049
5.66E-08,1.0035,0.0048
5.67E-08,1.0088,0.0029
5.69E-08,1.009,0.0044
5.70E-08,1.0025,0.0048
5.72E-08,1.0039,0.0048
5.73E-08,1.0011,0.0048
5.75E-08,1.0042,0.0021
5.79E-08,1.0101,0.0044
5.81E-08,1,0.006
5.82E-08,0.9993,0.0053
5.84E-08,1.0017,0.0048
5.89E-08,0.9977,0.0048
5.89E-08,1.0059,0.0048
5.91E-08,1.0053,0.0048
5.95E-08,0.9975,0.006
5.96E-08,1.009,0.0029
5.96E-08,1.0152,0.0049
5.98E-08,1.0035,0.0021
6.08E-08,1.0034,0.0048
6.13E-08,1.0043,0.0033
6.14E-08,1.005,0.0048
6.19E-08,1.0062,0.0048
